Item,Description,ItemParent
FX2-MBI-05-001,Permitir Agregar Perspectiva,FX2-MBI-05-000
FX2-MBI-05-002,Permitir Modificar Perspectiva,FX2-MBI-05-000
FX2-MBI-05-003,Permitir Eliminar Perspectiva,FX2-MBI-05-000
FX2-MBI-05-004,Permitir Agregar Métricas,FX2-MBI-05-000
FX2-MBI-05-005,Permitir Modificar Métricas,FX2-MBI-05-000
FX2-MBI-05-006,Permitir Eliminar Métricas,FX2-MBI-05-000
FX2-MBI-06-001,Permitir Agregar Indicador,FX2-MBI-06-000
FX2-MBI-06-002,Permitir Modificar Indicador,FX2-MBI-06-000
FX2-MBI-06-003,Permitir Eliminar Indicador,FX2-MBI-06-000
FX1-20-40-001,Permitir acceso,FX1-20-40-000
FX1-20-40-002,Permitir visualizar todas las requisiciones,FX1-20-40-000
FX1-20-40-100,Control de requisiciones,FX1-20-40-000
FX1-20-40-200,Configuraciones,FX1-20-40-000
FX1-20-40-300,Movimientos de inventario para requisiciones,FX1-20-40-000
FX1-20-40-400,Catálogo de tipos de requisiciones,FX1-20-40-000
FX1-20-40-003,Imprimir requisiciones en punto de venta,FX1-20-40-000
FX1-20-40-004,Imprimir diferencia entre cantidad solicitada y cantidad ejercida,FX1-20-40-000
FX1-20-40-005,Realizar producción a partir de la requisición seleccionada,FX1-20-40-000
FX1-20-40-006,Realizar comparación de costos y pedidos de compra,FX1-20-40-000
FX1-20-40-007,Importar requisición a archivo MVI,FX1-20-40-000
FX1-20-40-008,Exportar requisición a archivo MVI,FX1-20-40-000
FX1-20-40-101,Agregar requisición,FX1-20-40-100
FX1-20-40-102,Editar requisición,FX1-20-40-100
FX1-20-40-103,Autorizar requisiciones,FX1-20-40-100
FX1-20-40-104,Cancelar requisiciones,FX1-20-40-100
FX1-20-40-105,Unir requisiciones,FX1-20-40-100
FX1-20-40-106,Dividir requisiciones,FX1-20-40-100
FX1-20-40-107,Generar requisición  a partir de productos debajo del mínimo,FX1-20-40-100
FX1-20-40-108,Generar requisición  a partir de la requisición seleccionada,FX1-20-40-100
FX1-20-40-109,Generar requisición por faltantes,FX1-20-40-100
FX1-20-40-110,Generar requisición a partir de ingredientes,FX1-20-40-100
FX1-20-40-111,Generar requisición a partir de pedidos sin surtir,FX1-20-40-100
DFJ-00-00-003,Permitir Eliminar Requisiciones,FX1-20-40-100
DFJ-00-00-006,Permitir Establecer Permisos por Status,FX1-20-40-100
FX1-20-40-201,Permitir acceso,FX1-20-40-200
FX1-20-40-202,Configurar serie por tipo de requisición,FX1-20-40-200
FX1-20-40-203,Configurar serie por grupo de usuarios,FX1-20-40-200
FX1-20-40-204,Realizar configuración local,FX1-20-40-200
FX1-20-40-205,Seleccionar tipo de requisición,FX1-20-40-200
FX1-20-40-206,Seleccionar serie y folio de requisiciones,FX1-20-40-200
FX1-20-40-207,Seleccionar almacén origen,FX1-20-40-200
FX1-20-40-301,Importar requisiciones en entradas de inventario,FX1-20-40-300
FX1-20-40-302,Importar requisiciones en salidas de inventario,FX1-20-40-300
FX1-20-40-303,Importar requisiciones en traspasos de inventario,FX1-20-40-300
FX1-20-40-401,Permitir acceso,FX1-20-40-400
FX1-20-40-402,Agregar tipo de requisición,FX1-20-40-400
FX1-20-40-403,Editar tipo de requisición,FX1-20-40-400
FX1-20-40-404,Eliminar tipo de requisición,FX1-20-40-400
FX3-CRM-10-000,Atención a clientes,FX3-CRM-00-000
FX3-CRM-20-100,Permitir visualizar estádisticas,FX3-CRM-00-000
FX3-CRM-30-100,Permitir acceso administración de casos,FX3-CRM-00-000
FX3-CRM-10-001,Permitir acceso,FX3-CRM-10-000
FX3-CRM-10-100,Tipos de caso,FX3-CRM-10-000
FX3-CRM-10-200,Alertas,FX3-CRM-10-000
FX3-CRM-10-300,Catálogo de prioridades,FX3-CRM-10-000
FX3-CRM-10-101,Permitir acceso,FX3-CRM-10-100
FX3-CRM-10-102,Agregar tipos de caso,FX3-CRM-10-100
FX3-CRM-10-103,Editar tipos de caso,FX3-CRM-10-100
FX3-CRM-10-104,Eliminar tipos de caso,FX3-CRM-10-100
FX3-CRM-10-105,Permitir asignar permisos (tipos de caso),FX3-CRM-10-100
FX3-CRM-10-201,Crear alertas,FX3-CRM-10-200
FX3-CRM-10-202,Editar alertas de otros,FX3-CRM-10-200
FX3-CRM-10-203,Desactivar alertas de otros,FX3-CRM-10-200
FX3-CRM-10-301,Permitir agregar prioridad,FX3-CRM-10-300
FX3-CRM-10-302,Permitir editar prioridad,FX3-CRM-10-300
FX3-CRM-10-303,Permitir eliminar prioridad,FX3-CRM-10-300
FX4-CFL-00-001,Permitir refoliar pólizas,FX4-CFL-00-000
